city,date,time,temperature_c
beijing,2026-07-19,12:00,37.6
beijing,2026-07-19,18:00,33.2
beijing,2026-07-19,22:00,23.0
beijing,2026-07-20,08:00,31.4
beijing,2026-07-20,12:00,40.2
beijing,2026-07-20,18:00,36.0
beijing,2026-07-20,22:00,27.6
beijing,2026-07-21,08:00,29.4
beijing,2026-07-21,12:00,38.0
beijing,2026-07-21,18:00,33.8
beijing,2026-07-21,22:00,23.4
beijing,2026-07-22,08:00,30.8
beijing,2026-07-22,12:00,39.6
beijing,2026-07-22,18:00,35.2
beijing,2026-07-22,22:00,25.0
beijing,2026-07-23,08:00,31.4
beijing,2026-07-23,12:00,40.2
beijing,2026-07-23,18:00,35.8
beijing,2026-07-23,22:00,25.6
beijing,2026-07-24,08:00,29.4
beijing,2026-07-24,12:00,38.2
beijing,2026-07-24,18:00,34.0
beijing,2026-07-24,22:00,25.6
beijing,2026-07-25,08:00,32.0
beijing,2026-07-25,12:00,40.8
beijing,2026-07-25,18:00,36.4
beijing,2026-07-25,22:00,26.2
beijing,2026-07-26,08:00,31.6
beijing,2026-07-26,12:00,40.2
beijing,2026-07-26,18:00,36.0
beijing,2026-07-26,22:00,26.2
beijing,2026-07-27,08:00,28.4
beijing,2026-07-27,12:00,37.2
beijing,2026-07-27,18:00,33.0
beijing,2026-07-27,22:00,22.6
beijing,2026-07-28,08:00,28.8
beijing,2026-07-28,12:00,37.2
beijing,2026-07-28,18:00,34.8
beijing,2026-07-28,22:00,24.6
beijing,2026-07-29,08:00,32.2
beijing,2026-07-29,12:00,40.8
beijing,2026-07-29,18:00,36.6
beijing,2026-07-29,22:00,26.4
beijing,2026-07-30,08:00,28.8
beijing,2026-07-30,12:00,37.6
beijing,2026-07-30,18:00,33.6
beijing,2026-07-30,22:00,23.4
shanghai,2026-07-01,08:00,31.2
shanghai,2026-07-01,12:00,40.0
shanghai,2026-07-01,18:00,36.6
shanghai,2026-07-01,22:00,28.2
shanghai,2026-07-02,08:00,32.8
shanghai,2026-07-02,12:00,39.8
shanghai,2026-07-02,18:00,36.2
shanghai,2026-07-02,22:00,28.0
shanghai,2026-07-03,08:00,33.2
shanghai,2026-07-03,12:00,40.2
shanghai,2026-07-03,18:00,36.6
shanghai,2026-07-03,22:00,28.4
shanghai,2026-07-04,08:00,33.6
shanghai,2026-07-04,12:00,40.4
shanghai,2026-07-04,18:00,37.0
shanghai,2026-07-04,22:00,28.8
shanghai,2026-07-05,08:00,31.0
shanghai,2026-07-05,12:00,40.0
shanghai,2026-07-05,18:00,36.4
shanghai,2026-07-05,22:00,28.2
shanghai,2026-07-06,08:00,35.2
shanghai,2026-07-06,12:00,42.2
shanghai,2026-07-06,18:00,38.6
shanghai,2026-07-06,22:00,30.4
shanghai,2026-07-07,08:00,34.4
shanghai,2026-07-07,12:00,41.4
shanghai,2026-07-07,18:00,39.8
shanghai,2026-07-07,22:00,31.6
shanghai,2026-07-08,08:00,32.6
shanghai,2026-07-08,12:00,39.6
shanghai,2026-07-08,18:00,36.0
shanghai,2026-07-08,22:00,29.8
shanghai,2026-07-09,08:00,34.8
shanghai,2026-07-09,12:00,41.8
shanghai,2026-07-09,18:00,38.4
shanghai,2026-07-09,22:00,30.0
shanghai,2026-07-10,08:00,34.8
shanghai,2026-07-10,12:00,41.8
shanghai,2026-07-10,18:00,38.4
shanghai,2026-07-10,22:00,30.0
shanghai,2026-07-11,08:00,32.0
shanghai,2026-07-11,12:00,38.8
shanghai,2026-07-11,18:00,35.4
shanghai,2026-07-11,22:00,27.2
shanghai,2026-07-12,08:00,33.2
shanghai,2026-07-12,12:00,40.2
shanghai,2026-07-12,18:00,38.6
shanghai,2026-07-12,22:00,30.4
shanghai,2026-07-13,08:00,34.2
shanghai,2026-07-13,12:00,41.0
shanghai,2026-07-13,18:00,37.6
shanghai,2026-07-13,22:00,29.4
shanghai,2026-07-14,08:00,35.0
shanghai,2026-07-14,12:00,42.0
shanghai,2026-07-14,18:00,38.4
shanghai,2026-07-14,22:00,30.2
shanghai,2026-07-15,08:00,30.6
shanghai,2026-07-15,12:00,37.4
shanghai,2026-07-15,18:00,34.0
shanghai,2026-07-15,22:00,27.8
shanghai,2026-07-16,08:00,34.0
shanghai,2026-07-16,12:00,42.8
shanghai,2026-07-16,18:00,39.4
shanghai,2026-07-16,22:00,31.0
shanghai,2026-07-17,08:00,30.0
shanghai,2026-07-17,12:00,38.8
shanghai,2026-07-17,18:00,35.4
shanghai,2026-07-17,22:00,27.2
shanghai,2026-07-18,08:00,32.0
shanghai,2026-07-18,12:00,41.0
shanghai,2026-07-18,18:00,37.6
shanghai,2026-07-18,22:00,29.2
shanghai,2026-07-19,08:00,35.2
shanghai,2026-07-19,12:00,42.0
shanghai,2026-07-19,18:00,38.6
shanghai,2026-07-19,22:00,30.4
shanghai,2026-07-20,08:00,34.2
shanghai,2026-07-20,12:00,41.2
shanghai,2026-07-20,18:00,37.4
shanghai,2026-07-20,22:00,29.0
shanghai,2026-07-21,08:00,31.6
shanghai,2026-07-21,12:00,38.6
shanghai,2026-07-21,18:00,35.2
shanghai,2026-07-21,22:00,26.8
shanghai,2026-07-22,08:00,31.8
shanghai,2026-07-22,12:00,38.8
shanghai,2026-07-22,18:00,35.2
shanghai,2026-07-22,22:00,27.0
shanghai,2026-07-23,08:00,31.2
shanghai,2026-07-23,12:00,38.2
shanghai,2026-07-23,18:00,34.8
shanghai,2026-07-23,22:00,26.4
shanghai,2026-07-24,08:00,34.0
shanghai,2026-07-24,12:00,42.8
shanghai,2026-07-24,18:00,39.4
shanghai,2026-07-24,22:00,31.0
shanghai,2026-07-25,08:00,34.4
shanghai,2026-07-25,12:00,41.4
shanghai,2026-07-25,18:00,39.8
shanghai,2026-07-25,22:00,31.6
shanghai,2026-07-26,08:00,33.2
shanghai,2026-07-26,12:00,42.0
shanghai,2026-07-26,18:00,38.6
shanghai,2026-07-26,22:00,30.4
shanghai,2026-07-27,08:00,34.0
shanghai,2026-07-27,12:00,41.0
shanghai,2026-07-27,18:00,37.4
shanghai,2026-07-27,22:00,29.2
shanghai,2026-07-28,08:00,32.4
shanghai,2026-07-28,12:00,39.4
shanghai,2026-07-28,18:00,35.8
shanghai,2026-07-28,22:00,27.6
shanghai,2026-07-29,08:00,32.0
shanghai,2026-07-29,12:00,41.0
shanghai,2026-07-29,18:00,37.4
shanghai,2026-07-29,22:00,29.2
shanghai,2026-07-30,08:00,31.2
shanghai,2026-07-30,12:00,38.2
shanghai,2026-07-30,18:00,36.6
shanghai,2026-07-30,22:00,28.4
guangzhou,2026-07-01,08:00,36.8
guangzhou,2026-07-01,12:00,42.0
guangzhou,2026-07-01,18:00,39.4
guangzhou,2026-07-01,22:00,33.4
guangzhou,2026-07-02,08:00,35.2
guangzhou,2026-07-02,12:00,40.4
guangzhou,2026-07-02,18:00,39.6
guangzhou,2026-07-02,22:00,33.4
guangzhou,2026-07-03,08:00,37.0
guangzhou,2026-07-03,12:00,42.2
guangzhou,2026-07-03,18:00,39.6
guangzhou,2026-07-03,22:00,33.2
guangzhou,2026-07-04,08:00,33.4
guangzhou,2026-07-04,12:00,38.4
guangzhou,2026-07-04,18:00,35.8
guangzhou,2026-07-04,22:00,29.6
guangzhou,2026-07-05,08:00,32.2
guangzhou,2026-07-05,12:00,39.2
guangzhou,2026-07-05,18:00,36.6
guangzhou,2026-07-05,22:00,30.2
guangzhou,2026-07-06,08:00,35.6
guangzhou,2026-07-06,12:00,40.8
guangzhou,2026-07-06,18:00,38.4
guangzhou,2026-07-06,22:00,32.2
guangzhou,2026-07-07,08:00,33.4
guangzhou,2026-07-07,12:00,38.6
guangzhou,2026-07-07,18:00,36.0
guangzhou,2026-07-07,22:00,31.6
guangzhou,2026-07-08,08:00,34.2
guangzhou,2026-07-08,12:00,39.4
guangzhou,2026-07-08,18:00,38.8
guangzhou,2026-07-08,22:00,32.4
guangzhou,2026-07-09,08:00,35.2
guangzhou,2026-07-09,12:00,42.2
guangzhou,2026-07-09,18:00,39.6
guangzhou,2026-07-09,22:00,33.4
guangzhou,2026-07-10,08:00,34.2
guangzhou,2026-07-10,12:00,39.4
guangzhou,2026-07-10,18:00,36.6
guangzhou,2026-07-10,22:00,30.4
guangzhou,2026-07-11,08:00,35.2
guangzhou,2026-07-11,12:00,40.4
guangzhou,2026-07-11,18:00,39.6
guangzhou,2026-07-11,22:00,33.4
guangzhou,2026-07-12,08:00,36.6
guangzhou,2026-07-12,12:00,41.8
guangzhou,2026-07-12,18:00,39.0
guangzhou,2026-07-12,22:00,34.8
guangzhou,2026-07-13,08:00,32.0
guangzhou,2026-07-13,12:00,39.0
guangzhou,2026-07-13,18:00,36.4
guangzhou,2026-07-13,22:00,30.2
guangzhou,2026-07-14,08:00,33.6
guangzhou,2026-07-14,12:00,38.6
guangzhou,2026-07-14,18:00,36.0
guangzhou,2026-07-14,22:00,29.8
guangzhou,2026-07-15,08:00,33.6
guangzhou,2026-07-15,12:00,38.6
guangzhou,2026-07-15,18:00,36.4
guangzhou,2026-07-15,22:00,30.2
guangzhou,2026-07-16,08:00,36.6
guangzhou,2026-07-16,12:00,41.8
guangzhou,2026-07-16,18:00,39.2
guangzhou,2026-07-16,22:00,32.8
guangzhou,2026-07-17,08:00,34.2
guangzhou,2026-07-17,12:00,39.2
guangzhou,2026-07-17,18:00,36.6
guangzhou,2026-07-17,22:00,30.2
guangzhou,2026-07-18,08:00,36.0
guangzhou,2026-07-18,12:00,43.0
guangzhou,2026-07-18,18:00,40.4
guangzhou,2026-07-18,22:00,34.0
guangzhou,2026-07-19,08:00,34.4
guangzhou,2026-07-19,12:00,39.4
guangzhou,2026-07-19,18:00,38.8
guangzhou,2026-07-19,22:00,32.6
guangzhou,2026-07-20,08:00,34.2
guangzhou,2026-07-20,12:00,39.4
guangzhou,2026-07-20,18:00,36.6
guangzhou,2026-07-20,22:00,30.4
guangzhou,2026-07-21,08:00,37.2
guangzhou,2026-07-21,12:00,42.4
guangzhou,2026-07-21,18:00,39.8
guangzhou,2026-07-21,22:00,33.4
guangzhou,2026-07-22,08:00,37.2
guangzhou,2026-07-22,12:00,42.4
guangzhou,2026-07-22,18:00,39.6
guangzhou,2026-07-22,22:00,33.4
guangzhou,2026-07-23,08:00,34.6
guangzhou,2026-07-23,12:00,39.8
guangzhou,2026-07-23,18:00,37.0
guangzhou,2026-07-23,22:00,32.8
guangzhou,2026-07-24,08:00,36.2
guangzhou,2026-07-24,12:00,41.2
guangzhou,2026-07-24,18:00,38.6
guangzhou,2026-07-24,22:00,32.4
guangzhou,2026-07-25,08:00,34.0
guangzhou,2026-07-25,12:00,41.2
guangzhou,2026-07-25,18:00,38.4
guangzhou,2026-07-25,22:00,32.2
guangzhou,2026-07-26,08:00,35.6
guangzhou,2026-07-26,12:00,40.8
guangzhou,2026-07-26,18:00,38.2
guangzhou,2026-07-26,22:00,33.8
guangzhou,2026-07-27,08:00,35.0
guangzhou,2026-07-27,12:00,42.2
guangzhou,2026-07-27,18:00,38.0
guangzhou,2026-07-27,22:00,33.6
guangzhou,2026-07-28,08:00,36.4
guangzhou,2026-07-28,12:00,41.6
guangzhou,2026-07-28,18:00,40.8
guangzhou,2026-07-28,22:00,34.6
guangzhou,2026-07-29,08:00,34.2
guangzhou,2026-07-29,12:00,41.2
guangzhou,2026-07-29,18:00,38.6
guangzhou,2026-07-29,22:00,32.2
guangzhou,2026-07-30,08:00,35.2
guangzhou,2026-07-30,12:00,40.2
guangzhou,2026-07-30,18:00,37.6
guangzhou,2026-07-30,22:00,31.2
